violet,blue,green,yellow,orange,red,label,,,,,,,,,,,,,,,,,,,,
5576.02,2295.2,11501.38,8767.13,11870.41,2380.34,atelier,,,,,,,,,,,,,,,,,,,,
5597.22,2182.1,11563.84,8430.57,12427.57,1975.67,atelier,,,,,,,,,,,,,,,,,,,,
5359.61,1775.55,10230.42,7216.28,12802.41,1765.83,atelier,,,,,,,,,,,,,,,,,,,,
5026.8,1471.27,8656.71,6144.14,13035.57,1689.92,atelier,,,,,,,,,,,,,,,,,,,,
4686.9,1250.14,7493.35,5490.57,13236.21,1693.53,atelier,,,,,,,,,,,,,,,,,,,,
4567.95,1220.07,6813.18,5238.79,13462.59,1723.47,atelier,,,,,,,,,,,,,,,,,,,,
4431.98,1170.03,6892.76,5241.51,13745.53,1737.63,atelier,,,,,,,,,,,,,,,,,,,,
4467.88,1215.13,7205.78,5462.16,14098.78,1818.96,atelier,,,,,,,,,,,,,,,,,,,,
4628.89,1393.42,7705.5,5774.54,14444.3,2047.97,atelier,,,,,,,,,,,,,,,,,,,,
4807.8,1492.48,8210.95,5934.29,14759.47,2320.67,atelier,,,,,,,,,,,,,,,,,,,,
4970.52,1549.03,8952.16,6220.56,14938.32,2538.5,atelier,,,,,,,,,,,,,,,,,,,,
5110.87,1634.73,9650.04,6678,14396.16,2704.95,atelier,,,,,,,,,,,,,,,,,,,,
5230.08,1819.85,10046.64,7187,12537.08,2862.36,atelier,,,,,,,,,,,,,,,,,,,,
5336.07,1997.57,10365.17,7617.2,12201.54,2954.62,atelier,,,,,,,,,,,,,,,,,,,,
5424.97,2147.01,10585.56,7999.88,11663.77,3046.36,atelier,,,,,,,,,,,,,,,,,,,,
5490.37,2349.21,10069.78,8317.39,9864.38,3170.62,atelier,,,,,,,,,,,,,,,,,,,,
5527.13,2551.49,9603.39,8550.65,9149.19,3269.26,atelier,,,,,,,,,,,,,,,,,,,,
5594.32,2655.14,9771.75,8745.89,9525.17,3284.03,atelier,,,,,,,,,,,,,,,,,,,,
5693.69,2667.43,10243.87,8926.4,10368.95,2782.02,atelier,,,,,,,,,,,,,,,,,,,,
5773.82,2502.71,10573.99,8696.2,11257.26,2160.51,atelier,,,,,,,,,,,,,,,,,,,,
5484.91,1827.86,10712.79,8026.1,11996.83,1800.25,atelier,,,,,,,,,,,,,,,,,,,,
5507.62,1708.43,10478.89,7269.55,12521.35,1642.13,atelier,,,,,,,,,,,,,,,,,,,,
5093.31,1350.71,7743.95,5903.77,12427.17,1685.61,atelier,,,,,,,,,,,,,,,,,,,,
4823.65,1185.86,6970.47,5240.89,12573.86,1648.81,atelier,,,,,,,,,,,,,,,,,,,,
4522.83,1027.93,7129.83,4910.94,12824.77,1291.4,atelier,,,,,,,,,,,,,,,,,,,,
4265.91,940.46,6888.41,4549.47,13006.49,1297.96,atelier,,,,,,,,,,,,,,,,,,,,
4134.96,915.73,6923.27,4565.12,13268.64,1335.97,atelier,,,,,,,,,,,,,,,,,,,,
4215.56,958.26,6141.64,4586.01,13462.98,1477.27,atelier,,,,,,,,,,,,,,,,,,,,
4382.3,1051.13,5738.32,4509.01,13661.38,1719.84,atelier,,,,,,,,,,,,,,,,,,,,
4541.07,1124.42,5761.39,4376.5,13904.44,2009.46,atelier,,,,,,,,,,,,,,,,,,,,
4699.47,1175.58,5921.05,4386.25,14212.6,2274.31,atelier,,,,,,,,,,,,,,,,,,,,
4859.92,1215.42,6317.94,4494.23,14583.44,2513.08,atelier,,,,,,,,,,,,,,,,,,,,
5010.43,1235.48,6727.05,4514.2,14924.39,2658.37,atelier,,,,,,,,,,,,,,,,,,,,
5111.98,1001.24,7243.24,4395.1,15246.36,2667.04,atelier,,,,,,,,,,,,,,,,,,,,
5188.99,773.62,8114.62,4643.59,15536.62,2683.23,atelier,,,,,,,,,,,,,,,,,,,,
5291.29,794.16,8994.76,5138.93,15678.16,2735.61,atelier,,,,,,,,,,,,,,,,,,,,
5416.26,925.74,9704.08,5794.74,14694.58,2868.05,atelier,,,,,,,,,,,,,,,,,,,,
5519.03,1169.17,10077.37,6439.66,12050.29,3046.14,atelier,,,,,,,,,,,,,,,,,,,,
5573.33,1499.95,10385.04,7033.9,10548.14,3215.33,atelier,,,,,,,,,,,,,,,,,,,,
5660.3,1715.36,10793.03,7540.71,10608.63,3341.9,atelier,,,,,,,,,,,,,,,,,,,,
5727.27,1917.62,11082.13,7979.74,10545.31,3456.61,atelier,,,,,,,,,,,,,,,,,,,,
5801.14,2021.06,11450.12,8314.56,10908.38,3457.75,atelier,,,,,,,,,,,,,,,,,,,,
5859.03,2062.05,11728.1,8584.51,11376.74,3080.37,atelier,,,,,,,,,,,,,,,,,,,,
5909.82,2126.75,11957.39,8786.16,11899.97,2695.19,atelier,,,,,,,,,,,,,,,,,,,,
5904.91,1963.37,12030.45,8781.08,12453.67,2240.09,atelier,,,,,,,,,,,,,,,,,,,,
5907.72,1861.19,11757.73,8555.04,12927.61,2138.55,atelier,,,,,,,,,,,,,,,,,,,,
5922.95,1885.07,9765.36,7670.02,13146.25,2172.19,atelier,,,,,,,,,,,,,,,,,,,,
5736.97,1892.96,7582.68,7046.51,13161.92,2258.07,atelier,,,,,,,,,,,,,,,,,,,,
5786.08,1986.27,6995.34,7147.06,13379.33,2377.87,atelier,,,,,,,,,,,,,,,,,,,,
5845.17,2124.54,7042.51,7312.65,13712.29,2515.48,atelier,,,,,,,,,,,,,,,,,,,,
5900.25,2353.38,7438.36,7639.99,14130.47,2658.23,atelier,,,,,,,,,,,,,,,,,,,,
5932.73,2652.05,8028.22,8029.29,14517.62,2771.01,atelier,,,,,,,,,,,,,,,,,,,,
5968.65,2925.44,8437.6,8266.46,14830.46,2929.71,atelier,,,,,,,,,,,,,,,,,,,,
5987.49,3159.1,9054.34,8563.81,15028.31,3066.14,atelier,,,,,,,,,,,,,,,,,,,,
5921.74,3376.49,9660.3,8829.93,15122.18,3201.72,atelier,,,,,,,,,,,,,,,,,,,,
5759.37,3567.74,10322.87,9141.14,14175.09,3312.15,atelier,,,,,,,,,,,,,,,,,,,,
5334.19,3761.76,10944.69,9459.42,11967.04,3405.04,atelier,,,,,,,,,,,,,,,,,,,,
5063.59,3923.89,11451.82,9703.58,11011.02,3528.73,atelier,,,,,,,,,,,,,,,,,,,,
5571.46,2692.88,12333.98,10033.81,12271.78,2515.3,atelier,,,,,,,,,,,,,,,,,,,,
5674.21,2794.29,12189.99,10203.62,12437.4,2593.57,atelier,,,,,,,,,,,,,,,,,,,,
5752.49,2934.16,11340,10331.56,12356.7,2697.41,atelier,,,,,,,,,,,,,,,,,,,,
5831.04,3070.64,10957.5,10457.81,12400.73,2787.97,atelier,,,,,,,,,,,,,,,,,,,,
5895.94,3184.08,10894.75,10553.33,12532.56,2843.77,atelier,,,,,,,,,,,,,,,,,,,,
5950.04,3282.17,10945.57,10644.29,12755.5,2870.39,atelier,,,,,,,,,,,,,,,,,,,,
5998.24,3347.45,11037.12,10726.26,12995.35,2880.76,atelier,,,,,,,,,,,,,,,,,,,,
6032.52,3410.41,10511.06,10752.44,12988.68,2926.28,atelier,,,,,,,,,,,,,,,,,,,,
6046.66,3479.77,9646.53,10632.72,11884.84,2994.75,atelier,,,,,,,,,,,,,,,,,,,,
6046.33,3522.39,9664.98,10544.36,11494.42,3041.68,atelier,,,,,,,,,,,,,,,,,,,,
6006.67,3550.15,9741.38,10503.68,11509.48,3070.01,atelier,,,,,,,,,,,,,,,,,,,,
6020.4,3518.58,9954.24,10555.11,11701.93,3076.91,atelier,,,,,,,,,,,,,,,,,,,,
6043.86,3346.79,10392.02,10567.3,12159.74,2622.95,atelier,,,,,,,,,,,,,,,,,,,,
5992.43,2668.89,10958.61,10097.65,12746.46,1965.48,atelier,,,,,,,,,,,,,,,,,,,,
6010.69,2206.95,11444.15,10385.08,13211.22,2089.23,atelier,,,,,,,,,,,,,,,,,,,,
6205.02,2366.65,12456.54,10713.88,14206.29,2120.91,atelier,,,,,,,,,,,,,,,,,,,,
6216.32,2035.33,13636.08,10800.19,15326.76,1827.45,atelier,,,,,,,,,,,,,,,,,,,,
5877.66,1614.66,14722.77,10834.47,16345.49,1582.73,atelier,,,,,,,,,,,,,,,,,,,,
5901.99,1636.5,15765.4,10965.92,17292.64,1452.86,atelier,,,,,,,,,,,,,,,,,,,,
5673,1577.75,16669.86,11113.53,18129.67,1409.93,atelier,,,,,,,,,,,,,,,,,,,,
5777.5,1661.77,17414.47,11362.78,18844.51,1456.64,atelier,,,,,,,,,,,,,,,,,,,,
5898.65,1737.3,18012.92,11589.5,19422.66,1532.87,atelier,,,,,,,,,,,,,,,,,,,,
6112.28,1883.47,18363.63,11923.65,19721.59,1682.89,atelier,,,,,,,,,,,,,,,,,,,,
6335.25,2045.72,18855.57,12183.88,20152.83,1781.2,atelier,,,,,,,,,,,,,,,,,,,,
6345.73,1843.36,19432.71,11000.94,20662.45,1430.1,atelier,,,,,,,,,,,,,,,,,,,,
6066.36,1574.68,19967.94,11105.35,21157,1443.69,atelier,,,,,,,,,,,,,,,,,,,,
6230.33,1693.81,20210.84,11552.61,21371.7,1609.62,atelier,,,,,,,,,,,,,,,,,,,,
6493,2003.53,17525.42,12014.65,18212.35,1968.66,atelier,,,,,,,,,,,,,,,,,,,,
6677.3,2462.88,15989.21,12425.38,16422.68,2303.79,atelier,,,,,,,,,,,,,,,,,,,,
6899.67,2671.09,16499.59,12806.65,16995.21,2426.61,atelier,,,,,,,,,,,,,,,,,,,,
7082.9,2803.98,16996.33,13178.88,17525.59,2543.65,atelier,,,,,,,,,,,,,,,,,,,,
7278.61,3046.28,15750.66,13523.59,16023.29,2840.39,atelier,,,,,,,,,,,,,,,,,,,,
7386.05,3412.65,14065.33,13779.33,13964.15,3134.05,atelier,,,,,,,,,,,,,,,,,,,,
7393.74,3692.89,14161,14055.1,13391.57,3266.64,atelier,,,,,,,,,,,,,,,,,,,,
7389.37,3814.5,14759.5,14301.69,13877.22,3303.48,atelier,,,,,,,,,,,,,,,,,,,,
7408.13,3443.25,15830.45,14285.34,14996.09,2825.74,atelier,,,,,,,,,,,,,,,,,,,,
6696.57,2436.62,16867.9,12436.67,16140.58,1991.37,atelier,,,,,,,,,,,,,,,,,,,,
6707.21,2142.81,17709.81,12616.4,17129.73,2025.03,atelier,,,,,,,,,,,,,,,,,,,,
6893.79,2264.43,18148.33,12996.06,17628.35,2194.03,atelier,,,,,,,,,,,,,,,,,,,,
7112.01,2530.99,17298.66,13370.06,16531.18,2505.43,atelier,,,,,,,,,,,,,,,,,,,,
7294.01,2819.39,17487.5,13700.35,16699.56,2714.08,atelier,,,,,,,,,,,,,,,,,,,,
7433.21,2883.65,18270.75,13776.32,17594.6,2670.54,atelier,,,,,,,,,,,,,,,,,,,,
7000.6,2267.83,19020.17,12277.66,18441.64,2005.77,atelier,,,,,,,,,,,,,,,,,,,,
6909.3,2105.91,19570.16,12433.19,19080.48,2040.49,atelier,,,,,,,,,,,,,,,,,,,,
7041.97,2213.22,19931.84,12719.07,19439.63,2155.04,atelier,,,,,,,,,,,,,,,,,,,,
7202.77,2417.8,18684.42,13081.97,17884.81,2406.94,atelier,,,,,,,,,,,,,,,,,,,,
7343.7,2663.62,18581.71,13401.77,17807.91,2593.45,atelier,,,,,,,,,,,,,,,,,,,,
7467.23,2823.26,18868.34,13656.39,18180.22,2667.2,atelier,,,,,,,,,,,,,,,,,,,,
7491.3,2846.13,19442.7,12968.7,18829.69,2182.1,atelier,,,,,,,,,,,,,,,,,,,,
6438.15,2020.57,19982.43,11296.85,19405.72,1578.05,atelier,,,,,,,,,,,,,,,,,,,,
6032.58,1623.78,20481.19,11324.46,19981.65,1582.55,atelier,,,,,,,,,,,,,,,,,,,,
6147.22,1687.2,20812.07,11539.12,20385.08,1661.99,atelier,,,,,,,,,,,,,,,,,,,,
6320.6,1808.08,20923.06,11879.6,20541.58,1808.59,atelier,,,,,,,,,,,,,,,,,,,,
6545.34,2035.58,20448.53,12284.64,20252.79,2004.23,atelier,,,,,,,,,,,,,,,,,,,,
6760.4,2301.92,19217.27,12666.08,19465.9,2212.11,atelier,,,,,,,,,,,,,,,,,,,,
6945.66,2503.73,19391.64,12986.37,19708.5,2327.7,atelier,,,,,,,,,,,,,,,,,,,,
7115,2649.15,19147.32,13332.03,19590.25,2504.43,atelier,,,,,,,,,,,,,,,,,,,,
7259.9,3029.14,14925.16,13522.13,15106.63,2882.39,atelier,,,,,,,,,,,,,,,,,,,,
7263.01,3484.62,12142.58,13633.62,11935.81,3264.15,atelier,,,,,,,,,,,,,,,,,,,,
7345.31,3853.36,12350.32,13919.35,12150.93,3493.33,atelier,,,,,,,,,,,,,,,,,,,,
7510.37,3982.63,13241.69,14195.92,13116.94,3512.6,atelier,,,,,,,,,,,,,,,,,,,,
7617.14,3837.31,14290.82,14338.23,14257.34,3163.3,atelier,,,,,,,,,,,,,,,,,,,,
7650.42,3415.16,15202.54,14481.2,15226.41,3105.15,atelier,,,,,,,,,,,,,,,,,,,,
7784.18,3510.64,15566.29,14714.08,15546.47,3245.53,atelier,,,,,,,,,,,,,,,,,,,,
7887.26,3730.98,14840.64,14871.47,14144.73,3504.18,atelier,,,,,,,,,,,,,,,,,,,,
7923.94,3993.08,14257.82,14980.83,13164.37,3733.06,atelier,,,,,,,,,,,,,,,,,,,,
8009.94,4060.67,14887.34,15091.24,13866.13,3749.76,atelier,,,,,,,,,,,,,,,,,,,,
8086.95,4081.4,15498.7,15211.42,14610.42,3664.38,atelier,,,,,,,,,,,,,,,,,,,,
8104.55,3780.2,16272.93,15136.21,15493.37,3256.69,atelier,,,,,,,,,,,,,,,,,,,,
7950.78,3334.6,16979.84,15048.6,16261.04,3117.84,atelier,,,,,,,,,,,,,,,,,,,,
7996.5,3342.74,17526.06,15089.74,16837.83,3145.16,atelier,,,,,,,,,,,,,,,,,,,,
8008.85,3274.37,18189.55,14457.37,17587.95,2809.08,atelier,,,,,,,,,,,,,,,,,,,,
6692.42,2479.19,18845.4,12193.69,18081.56,1788.04,atelier,,,,,,,,,,,,,,,,,,,,
5106.21,2027.09,19340.86,11319.84,17884.78,1196.02,atelier,,,,,,,,,,,,,,,,,,,,
3911.11,2070.68,19612.17,10754.42,14883.39,890.01,atelier,,,,,,,,,,,,,,,,,,,,
2867.05,2155.01,19758.25,10730.71,12265.19,796.01,atelier,,,,,,,,,,,,,,,,,,,,
2449.53,2321.81,19860.73,10834.54,10481.1,813.1,atelier,,,,,,,,,,,,,,,,,,,,
2383.26,2590.93,19806.86,11002.89,8777.55,869.29,atelier,,,,,,,,,,,,,,,,,,,,
2397.34,2936.64,19742.43,11300.9,7727.77,988.26,atelier,,,,,,,,,,,,,,,,,,,,
2420.2,3335.67,18318.22,11536.11,6092.39,1137.24,atelier,,,,,,,,,,,,,,,,,,,,
2436.88,3752.31,16241.11,11724.79,4606.19,1336.91,atelier,,,,,,,,,,,,,,,,,,,,
2150.94,4102.08,12498.55,10962.4,2890.1,1479.62,atelier,,,,,,,,,,,,,,,,,,,,
2188.25,4458.07,11862.78,11119.36,2533.55,1693.86,atelier,,,,,,,,,,,,,,,,,,,,
2193.72,4747.06,11157.39,11245.62,2539.09,1848.67,atelier,,,,,,,,,,,,,,,,,,,,
2160.86,4972.36,9842.69,11052.81,2315.05,1906.21,atelier,,,,,,,,,,,,,,,,,,,,
1778.43,5046.82,9610.85,10667.91,2302.02,1724.6,atelier,,,,,,,,,,,,,,,,,,,,
1792.39,5117.84,10077.36,10754.21,2484.52,1584.8,atelier,,,,,,,,,,,,,,,,,,,,
1678.19,4976.42,10894.33,10856.49,2856.17,1386.4,atelier,,,,,,,,,,,,,,,,,,,,
1709.17,4789.71,11964.49,11076.64,3547.75,1332.2,atelier,,,,,,,,,,,,,,,,,,,,
1774.06,4540.35,13018.75,11215.28,4333.38,1155.6,atelier,,,,,,,,,,,,,,,,,,,,
2019.45,4573.62,14067.77,11749.65,6116.44,1275.94,atelier,,,,,,,,,,,,,,,,,,,,
2559.41,4729.76,14614.39,12315.89,7937.29,1493.25,atelier,,,,,,,,,,,,,,,,,,,,
3222.37,4955.38,14298.2,12760.2,8958.77,1844.32,atelier,,,,,,,,,,,,,,,,,,,,
3803.33,5160.84,13112.6,13072.08,9424.79,2232.89,atelier,,,,,,,,,,,,,,,,,,,,
4275.1,5360.26,12588.3,13345.07,9796.41,2577.5,atelier,,,,,,,,,,,,,,,,,,,,
4726.59,5452.73,12915.67,13659.46,10511.67,2775.85,atelier,,,,,,,,,,,,,,,,,,,,
5085.13,4666.87,13982.9,13775.32,11851.1,2727.93,atelier,,,,,,,,,,,,,,,,,,,,
5312.32,3613.43,14984.21,13558.16,13103.19,2524.96,atelier,,,,,,,,,,,,,,,,,,,,
5570.78,3266.72,15783.39,13690.64,14063.97,2581.17,atelier,,,,,,,,,,,,,,,,,,,,
5863.51,3295.04,16387.75,13880.98,14718.78,2698.55,atelier,,,,,,,,,,,,,,,,,,,,
6138.05,3342.64,16912.98,14033.48,15267.4,2806.79,atelier,,,,,,,,,,,,,,,,,,,,
6360.25,3351.08,17545.28,14053.53,16045.46,2807.22,atelier,,,,,,,,,,,,,,,,,,,,
6390.42,2680.04,18232.65,11879.77,16874.41,1882.61,atelier,,,,,,,,,,,,,,,,,,,,
4841.21,1563.52,18513.68,9033.88,17019.17,1121.3,atelier,,,,,,,,,,,,,,,,,,,,
3848.61,1025.76,18966.51,8506.94,17253.35,769.15,atelier,,,,,,,,,,,,,,,,,,,,
3674.3,1034.38,19478.56,8648.15,17619.72,664.08,atelier,,,,,,,,,,,,,,,,,,,,
3677.67,1076.15,19953.8,8863.53,17996.94,666.37,atelier,,,,,,,,,,,,,,,,,,,,
3763.81,1209.13,20351.32,9355.68,18517.15,734.23,atelier,,,,,,,,,,,,,,,,,,,,
3958.62,1446.92,20619.09,9946.01,19034.74,849.11,atelier,,,,,,,,,,,,,,,,,,,,
4191.16,1758.03,20787.48,10540.01,19462.16,981.2,atelier,,,,,,,,,,,,,,,,,,,,
4326.85,2069.92,21084.83,11032.31,19629.84,1049.68,atelier,,,,,,,,,,,,,,,,,,,,
3962.92,2266.03,21383.85,11224.08,16622.92,932.84,atelier,,,,,,,,,,,,,,,,,,,,
2987.46,2402.53,21437.26,11262.27,12482.96,814.92,atelier,,,,,,,,,,,,,,,,,,,,
2076.73,2508.37,18678.13,9933.13,7815.98,686.46,atelier,,,,,,,,,,,,,,,,,,,,
1359.87,2548.34,15355.57,8594.57,4603.99,617.73,atelier,,,,,,,,,,,,,,,,,,,,
965.43,2586.6,12830.28,7820.28,2823.5,586.36,atelier,,,,,,,,,,,,,,,,,,,,
768.22,2712.24,11075.64,7700.14,1846.75,591.63,atelier,,,,,,,,,,,,,,,,,,,,
635.61,2842.72,7858.82,6731.57,1284.87,598.37,atelier,,,,,,,,,,,,,,,,,,,,
541.8,2881.85,4690.41,5095.29,981.44,593.68,atelier,,,,,,,,,,,,,,,,,,,,
491.9,2960.06,3128.7,4438.64,825.72,602.41,atelier,,,,,,,,,,,,,,,,,,,,
466.95,3026.36,2929.85,4304.32,748.36,573.71,atelier,,,,,,,,,,,,,,,,,,,,
456.98,3038.92,3188.07,4340.99,726.18,520.35,atelier,,,,,,,,,,,,,,,,,,,,
447.99,2487.46,3526.36,3949.49,732.86,473.68,atelier,,,,,,,,,,,,,,,,,,,,
448.29,1642.73,3942.22,3391.75,765.28,452.84,atelier,,,,,,,,,,,,,,,,,,,,
451.76,1073.86,4331.7,2828.87,815.65,450.42,atelier,,,,,,,,,,,,,,,,,,,,
457.28,778.43,4921.33,2849.39,933.68,451.38,atelier,,,,,,,,,,,,,,,,,,,,
464.06,620.22,5577.6,2862.75,1158.11,451.94,atelier,,,,,,,,,,,,,,,,,,,,
481.75,546.61,6483.74,2979.27,1754,450.97,atelier,,,,,,,,,,,,,,,,,,,,
504.58,482.3,7350.46,3058.15,2508,450.48,atelier,,,,,,,,,,,,,,,,,,,,
564.32,445.65,8157.52,3102.23,3320,444.24,atelier,,,,,,,,,,,,,,,,,,,,
566.39,406.83,8404.97,2328.62,3542.3,429.62,atelier,,,,,,,,,,,,,,,,,,,,
512.69,374.41,6616.98,1664.81,2444.15,404.31,atelier,,,,,,,,,,,,,,,,,,,,
449.85,337.21,4372.49,1272.9,1720.08,374.16,atelier,,,,,,,,,,,,,,,,,,,,
417.42,314.6,4550.24,1142.45,1551.04,357.58,atelier,,,,,,,,,,,,,,,,,,,,
410.21,304.8,5186.32,1261.71,1731.83,347.29,atelier,,,,,,,,,,,,,,,,,,,,
424.29,320.52,6249.29,1716.94,2160.05,340.64,atelier,,,,,,,,,,,,,,,,,,,,
442.56,410.17,6988.16,2158.44,2242.05,338.82,atelier,,,,,,,,,,,,,,,,,,,,
430.78,501.25,7121.84,2360.3,1563.52,335.41,atelier,,,,,,,,,,,,,,,,,,,,
400.89,555.73,5745.92,2404.37,1153.26,336.67,atelier,,,,,,,,,,,,,,,,,,,,
390.45,619.25,4131.96,2361.68,948.63,342.8,atelier,,,,,,,,,,,,,,,,,,,,
393.1,715.73,3283.98,2410.02,871.82,355.12,atelier,,,,,,,,,,,,,,,,,,,,
400.79,904.86,3373.08,2658.31,859.91,379.11,atelier,,,,,,,,,,,,,,,,,,,,
414.51,1201.37,3518.37,2999.28,860.32,425,atelier,,,,,,,,,,,,,,,,,,,,
435.16,1550.33,3816.64,3497.95,865.39,548.2,atelier,,,,,,,,,,,,,,,,,,,,
522.34,2061.6,4104.07,4094.76,879.35,801.68,atelier,,,,,,,,,,,,,,,,,,,,
709.31,2617.04,4665.16,4999.28,1039.71,1255.11,atelier,,,,,,,,,,,,,,,,,,,,
1172.58,3099.94,5662.75,6099.45,1724.44,1785.1,atelier,,,,,,,,,,,,,,,,,,,,
1699.62,3472.04,6481.27,7087.51,2297.6,2267.09,atelier,,,,,,,,,,,,,,,,,,,,
2118.96,3876.04,7109.65,7972.66,2717.64,2717.28,atelier,,,,,,,,,,,,,,,,,,,,
2431.26,4281.43,7416.48,8645.49,2870.87,3113.15,atelier,,,,,,,,,,,,,,,,,,,,
2748.24,4637.89,7782.43,9341.54,3232.39,3494.24,atelier,,,,,,,,,,,,,,,,,,,,
3194.41,4899.9,8463.29,10075.09,4087.95,3766.81,atelier,,,,,,,,,,,,,,,,,,,,
3747.97,4609.95,9664.56,10629.58,5665.05,3773.23,atelier,,,,,,,,,,,,,,,,,,,,
4178.17,3788.98,10893.1,11012.22,7328.25,3333.62,atelier,,,,,,,,,,,,,,,,,,,,
4596.36,3685.99,11592.69,11500.2,8304.92,3437.45,atelier,,,,,,,,,,,,,,,,,,,,
4960.52,3839.09,11763.32,11894.38,8732.53,3634.81,atelier,,,,,,,,,,,,,,,,,,,,
5239.47,4092.28,10960.66,12189.24,8830.58,3876.53,atelier,,,,,,,,,,,,,,,,,,,,
5510.12,4292.85,11258.7,12513.52,9321.32,3988.87,atelier,,,,,,,,,,,,,,,,,,,,
5760.11,4183.93,11926.83,12719.16,10219.39,3767.94,atelier,,,,,,,,,,,,,,,,,,,,
5977.9,3947.96,12471.94,12967.35,10968.25,3755.97,atelier,,,,,,,,,,,,,,,,,,,,
6191.21,4007.97,12741.95,13264.11,11375.82,3823.97,atelier,,,,,,,,,,,,,,,,,,,,
6353.89,4230.17,11953.47,13485.6,11139.91,4021.37,atelier,,,,,,,,,,,,,,,,,,,,
6497.3,4475.35,11776.24,13689.14,11052.96,4205.04,atelier,,,,,,,,,,,,,,,,,,,,
6635.27,4652.22,11863.71,13872.13,11153.06,4335.43,atelier,,,,,,,,,,,,,,,,,,,,
6806.84,4666.1,12508.34,14054.61,11874.65,4131.22,atelier,,,,,,,,,,,,,,,,,,,,
6901.86,3831.55,13455.11,13770.81,12938.29,3298.11,atelier,,,,,,,,,,,,,,,,,,,,
6929.67,3094.27,14330.2,13518.4,13903.76,2855.55,atelier,,,,,,,,,,,,,,,,,,,,
7012.5,2940.64,15033.18,13679.36,14630.58,2901.4,atelier,,,,,,,,,,,,,,,,,,,,
